Unnamed: 0,counter,instance,satisfiability,problem_type,est_type,est_val,counter_type,count_precision,count_notation,count_value,timed_out,error,solve_time,generator,verified,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,solved,instance_name,instance_name_with_cnf
203,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-100var-horn/chevu_004_s14694479472150770797_028.cnf,SATISFIABLE,mc,log10-estimate,8.86459365442236,exact,arb,int,732139190.0,False,False,0.1461670398712158,unknown,False,100.0,400.0,102.0,387.0,-0.019607843,0.033591731,0.0,0.263565891,0.579672696,0.564268278,0.0,1.0,0.714052625,0.029031768,0.06518272,0.019607843,0.029411765,0.163982143,0.0,0.03875969,1.0,0.0,0.029031768,0.364253948,0.010335917,0.056847545,2.660947197,0.335848989,0.231955304,0.0,1.0,3.183564927,0.008258601,0.589500005,0.0,0.023255814,1.996197916,0.286821705,0.03916502,0.345274235,0.015503876,0.072351421,0.0,0.040115111,0.334665783,0.010335917,0.080103359,3.025418285,0.198253256,0.359743669,0.086021505,0.6,3.200382085,0.02,1.0,chevu_004_s14694479472150770797_028,chevu_004_s14694479472150770797_028.cnf
402,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-100var-horn/chevu_008_s14694479472150770801_028.cnf,SATISFIABLE,mc,log10-estimate,10.620635920758032,exact,arb,int,41748023644.0,False,False,0.4498083591461181,unknown,False,100.0,400.0,101.0,388.0,-0.00990099,0.030927835,0.0,0.260309278,0.552405498,0.588788193,0.0,1.0,0.741614118,0.029422272,0.055851869,0.01980198,0.02970297,0.128960794,0.0,0.028350515,1.0,0.0,0.029422272,0.381185205,0.007731959,0.054123711,2.787970778,0.395954083,0.242993881,0.058823529,1.0,3.360193315,0.008420945,0.614979824,0.0,0.023195876,2.064752123,0.291237113,0.040981933,0.338553448,0.015463918,0.072164948,0.0,0.040665852,0.323276674,0.007731959,0.085051546,2.993356335,0.188062481,0.356257244,0.079365079,0.5,3.068706668,0.01,1.0,chevu_008_s14694479472150770801_028,chevu_008_s14694479472150770801_028.cnf
455,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-100var-horn/chevu_000_s14694479472150770793_029.cnf,SATISFIABLE,mc,log10-estimate,10.303423093999696,exact,arb,int,20110510445.0,False,False,0.8454656600952148,unknown,False,100.0,400.0,102.0,386.0,-0.019607843,0.03626943,0.0,0.264248705,0.540587219,0.575957796,0.0,1.0,0.652330994,0.029259372,0.041449085,0.019607843,0.029411765,0.080149201,0.0,0.015544041,1.0,0.0,0.029259372,0.343500014,0.005181347,0.062176166,2.63767541,0.366928076,0.229979145,0.0,1.0,3.296459664,0.008635579,0.582590564,0.0,0.023316062,2.019890226,0.295336788,0.040536422,0.330713127,0.007772021,0.07253886,0.0,0.040148729,0.318029614,0.010362694,0.093264249,2.92469534,0.195485825,0.346811946,0.066066066,0.533333333,3.14967086,0.03,1.0,chevu_000_s14694479472150770793_029,chevu_000_s14694479472150770793_029.cnf
209,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-100var-horn/chevu_004_s14694479472150770797_029.cnf,SATISFIABLE,mc,log10-estimate,11.508919242228853,exact,arb,int,322789383375.0,False,False,1.2247533798217771,unknown,False,100.0,400.0,101.0,387.0,-0.00990099,0.033591731,0.0,0.260981912,0.583118002,0.562472537,0.0,1.0,0.716556286,0.029344795,0.063002099,0.01980198,0.02970297,0.155593806,0.0,0.036175711,1.0,0.0,0.029344795,0.360321922,0.010335917,0.056847545,2.657653001,0.360343592,0.241318338,0.0,1.0,3.245605339,0.008647376,0.60998427,0.0,0.023255814,2.056121652,0.297157623,0.039450457,0.338265379,0.015503876,0.072351421,0.0,0.039661078,0.338454689,0.010335917,0.082687339,3.010329182,0.200832154,0.348053999,0.086206897,0.466666667,3.15298877,0.02,1.0,chevu_004_s14694479472150770797_029,chevu_004_s14694479472150770797_029.cnf
259,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-100var-horn/chevu_005_s14694479472150770798_029.cnf,SATISFIABLE,mc,log10-estimate,11.806493872845165,exact,arb,int,640462745668.0,False,False,3.142267942428589,unknown,False,100.0,400.0,101.0,385.0,-0.00990099,0.038961039,0.0,0.262337662,0.554978355,0.570850688,0.0,1.0,0.668087494,0.029548669,0.04150259,0.01980198,0.02970297,0.080316637,0.0,0.015584416,1.0,0.0,0.029548669,0.37820474,0.01038961,0.07012987,2.712067529,0.370108382,0.217478096,0.0,1.0,3.380877956,0.008820882,0.60343516,0.0,0.023376623,2.078392004,0.298701299,0.039758262,0.366085509,0.01038961,0.093506494,0.0,0.041490977,0.317283649,0.012987013,0.083116883,2.989850375,0.189942624,0.35381099,0.075268817,0.523809524,3.105210508,0.04,1.0,chevu_005_s14694479472150770798_029,chevu_005_s14694479472150770798_029.cnf
143,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-100var-horn/chevu_006_s14694479472150770799_029.cnf,SATISFIABLE,mc,log10-estimate,11.799737502053844,exact,arb,int,630576094038.0,False,False,1.1067516803741455,unknown,False,100.0,400.0,100.0,384.0,0.0,0.041666667,0.0,0.260416667,0.568576389,0.567444174,0.0,1.0,0.693761639,0.029635417,0.063244479,0.02,0.03,0.156520379,0.0,0.036458333,1.0,0.0,0.029635417,0.385198611,0.005208333,0.0625,2.77577839,0.381420175,0.25515962,0.0,1.0,3.365951783,0.00875,0.668842114,0.0,0.0234375,2.10592659,0.294270833,0.040677083,0.346276864,0.010416667,0.075520833,0.0,0.040920681,0.351947091,0.0078125,0.0859375,3.070858702,0.191868879,0.395182023,0.078817734,0.6,3.154537462,0.02,1.0,chevu_006_s14694479472150770799_029,chevu_006_s14694479472150770799_029.cnf
449,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-100var-horn/chevu_007_s14694479472150770800_029.cnf,SATISFIABLE,mc,log10-estimate,10.1848324967558,exact,arb,int,15304970497.0,False,False,0.53257155418396,unknown,False,100.0,400.0,100.0,386.0,0.0,0.03626943,0.0,0.259067358,0.551813472,0.579446198,0.0,1.0,0.700969184,0.029740933,0.053413623,0.02,0.03,0.120212062,0.0,0.025906736,1.0,0.0,0.029740933,0.354151662,0.007772021,0.056994819,2.726581907,0.338109642,0.214662501,0.0,1.0,3.176503954,0.008782383,0.557974563,0.0,0.023316062,2.004910338,0.297927461,0.041243523,0.334944508,0.010362694,0.075129534,0.0,0.04150447,0.306611488,0.012953368,0.080310881,2.96241496,0.18585018,0.364059703,0.092307692,0.6,3.061915386,0.02,1.0,chevu_007_s14694479472150770800_029,chevu_007_s14694479472150770800_029.cnf
332,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-100var-horn/chevu_000_s14694479472150770793_030.cnf,SATISFIABLE,mc,log10-estimate,9.237771578920473,exact,arb,int,1728906786.0,False,False,0.1211590766906738,unknown,False,100.0,400.0,103.0,389.0,-0.029126214,0.028277635,0.0,0.264781491,0.551842331,0.574462812,0.0,1.0,0.677398904,0.028926548,0.047634767,0.019417476,0.029126214,0.100232058,0.0,0.020565553,1.0,0.0,0.028926548,0.349544611,0.005141388,0.061696658,2.644887477,0.357651905,0.222060182,0.0,1.0,3.30124683,0.008910076,0.589248161,0.0,0.023136247,2.055150564,0.30848329,0.039933112,0.337414341,0.007712082,0.071979434,0.0,0.040298438,0.314001978,0.007712082,0.077120823,2.973957836,0.193973071,0.354255895,0.095384615,0.5,3.143061876,0.01,1.0,chevu_000_s14694479472150770793_030,chevu_000_s14694479472150770793_030.cnf
154,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-100var-horn/chevu_004_s14694479472150770797_030.cnf,SATISFIABLE,mc,log10-estimate,7.250501827391813,exact,arb,int,17803354.0,False,False,0.0748395919799804,unknown,False,100.0,400.0,102.0,389.0,-0.019607843,0.028277635,0.0,0.262210797,0.574978578,0.566593392,0.0,1.0,0.710224872,0.029033721,0.065017303,0.019607843,0.029411765,0.163341757,0.0,0.038560411,1.0,0.0,0.029033721,0.362444121,0.01285347,0.05655527,2.640496715,0.320737984,0.225591759,0.0,1.0,3.137643033,0.008821009,0.570599398,0.0,0.023136247,2.014541103,0.305912596,0.038963657,0.345274235,0.015424165,0.071979434,0.0,0.040800682,0.320531396,0.010282776,0.082262211,3.006332232,0.194760912,0.343809953,0.086021505,0.476190476,3.173285245,0.02,1.0,chevu_004_s14694479472150770797_030,chevu_004_s14694479472150770797_030.cnf
219,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-100var-horn/chevu_006_s14694479472150770799_030.cnf,SATISFIABLE,mc,log10-estimate,11.258410424734944,exact,arb,int,181305268672.0,False,False,0.5899744033813477,unknown,False,100.0,400.0,100.0,385.0,0.0,0.038961039,0.0,0.25974026,0.561038961,0.575590391,0.0,1.0,0.709946502,0.029636364,0.063163375,0.02,0.03,0.156210171,0.0,0.036363636,1.0,0.0,0.029636364,0.384648389,0.005194805,0.062337662,2.788118409,0.373392694,0.260295471,0.0,1.0,3.391131935,0.008987013,0.669647628,0.0,0.023376623,2.138611321,0.303896104,0.040571429,0.346276864,0.01038961,0.075324675,0.0,0.041045708,0.347875869,0.007792208,0.085714286,3.078413208,0.190910879,0.393818181,0.078817734,0.6,3.145936586,0.02,1.0,chevu_006_s14694479472150770799_030,chevu_006_s14694479472150770799_030.cnf
