,counter,instance,satisfiability,problem_type,est_type,est_val,counter_type,count_precision,count_notation,count_value,timed_out,error,solve_time,generator,verified
0,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_002_s3942794106835504094_063.cnf,UNSATISFIABLE,mc,log10-estimate,-inf,exact,arb,int,0,False,False,0.09522581100463867,unknown,False
1,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_006_s3942794106835504098_031.cnf,SATISFIABLE,mc,log10-estimate,15.0235382374733,exact,arb,int,1055694447779816,False,False,2.1407551765441895,unknown,False
2,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_001_s3942794106835504093_087.cnf,SATISFIABLE,mc,log10-estimate,15.9868075117452,exact,arb,int,9700799125607002,False,False,136.40297269821167,unknown,False
3,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_004_s3942794106835504096_067.cnf,SATISFIABLE,mc,log10-estimate,11.894489021667,exact,arb,int,784312292357,False,False,1.3728153705596924,unknown,False
4,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_005_s3942794106835504097_041.cnf,SATISFIABLE,mc,log10-estimate,12.2269861189136,exact,arb,int,1686499119997,False,False,1.1961262226104736,unknown,False
5,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_007_s3942794106835504099_086.cnf,SATISFIABLE,mc,log10-estimate,17.4362787740234,exact,arb,int,273073007847182725,False,False,216.98001980781555,unknown,False
6,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_009_s3942794106835504101_087.cnf,SATISFIABLE,mc,log10-estimate,14.6708510456685,exact,arb,int,468652616091869,False,False,28.6349618434906,unknown,False
7,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_007_s3942794106835504099_039.cnf,SATISFIABLE,mc,log10-estimate,12.7384422975484,exact,arb,int,5475733429031,False,False,1.1426756381988525,unknown,False
8,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_002_s3942794106835504094_081.cnf,SATISFIABLE,mc,log10-estimate,9.29571501899869,exact,arb,int,1975672792,False,False,0.11170291900634766,unknown,False
9,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_006_s3942794106835504098_100.cnf,,,,,,,,,True,False,602.8084568977356,unknown,False
10,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_004_s3942794106835504096_034.cnf,SATISFIABLE,mc,log10-estimate,14.1600709650094,exact,arb,int,144567597919952,False,False,10.37692666053772,unknown,False
11,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_009_s3942794106835504101_016.cnf,SATISFIABLE,mc,log10-estimate,16.1766740817893,exact,arb,int,15020143497326736,False,False,41.6357524394989,unknown,False
12,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_003_s3942794106835504095_089.cnf,SATISFIABLE,mc,log10-estimate,17.613891165859,exact,arb,int,411046699946671776,False,False,151.22530055046082,unknown,False
13,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_003_s3942794106835504095_073.cnf,SATISFIABLE,mc,log10-estimate,14.255100432213,exact,arb,int,179928695881750,False,False,0.9123179912567139,unknown,False
14,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_007_s3942794106835504099_048.cnf,SATISFIABLE,mc,log10-estimate,13.5677114151814,exact,arb,int,36958251387618,False,False,7.4261438846588135,unknown,False
15,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_009_s3942794106835504101_004.cnf,,,,,,,,,True,False,602.8856444358826,unknown,False
16,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_008_s3942794106835504100_023.cnf,SATISFIABLE,mc,log10-estimate,12.3005950179063,exact,arb,int,1997997856213,False,False,1.7603015899658203,unknown,False
17,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_000_s3942794106835504092_001.cnf,,,,,,,,,True,False,602.8770563602448,unknown,False
18,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_005_s3942794106835504097_076.cnf,SATISFIABLE,mc,log10-estimate,11.5520760978855,exact,arb,int,356513596928,False,False,0.2467501163482666,unknown,False
19,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_000_s3942794106835504092_071.cnf,SATISFIABLE,mc,log10-estimate,8.38875365272433,exact,arb,int,244767444,False,False,0.1004936695098877,unknown,False
20,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_009_s3942794106835504101_066.cnf,SATISFIABLE,mc,log10-estimate,12.6266991597867,exact,arb,int,4233496058683,False,False,1.1657004356384277,unknown,False
21,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_001_s3942794106835504093_088.cnf,SATISFIABLE,mc,log10-estimate,16.0016197801803,exact,arb,int,10037366456148923,False,False,109.65119481086731,unknown,False
22,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_004_s3942794106835504096_050.cnf,SATISFIABLE,mc,log10-estimate,8.04834177222507,exact,arb,int,111774252,False,False,0.10851192474365234,unknown,False
23,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-125var-horn/chevu_000_s3942794106835504092_061.cnf,SATISFIABLE,mc,log10-estimate,11.2655759183972,exact,arb,int,184321467053,False,False,0.8145725727081299,unknown,False
