,counter,instance,satisfiability,problem_type,est_type,est_val,counter_type,count_precision,count_notation,count_value,timed_out,error,solve_time,generator,verified
0,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_001_s3847971343468118008_078.cnf,SATISFIABLE,mc,log10-estimate,15.0072393491725,exact,arb,int,1016808924080383,False,False,32.894266843795776,unknown,False
1,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_007_s3847971343468118014_080.cnf,SATISFIABLE,mc,log10-estimate,14.3774023695861,exact,arb,int,238452768781449,False,False,24.580785512924194,unknown,False
2,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_007_s3847971343468118014_019.cnf,SATISFIABLE,mc,log10-estimate,16.5707494132529,exact,arb,int,37217689921990730,False,False,27.88253903388977,unknown,False
3,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_007_s3847971343468118014_012.cnf,SATISFIABLE,mc,log10-estimate,19.1949446662107,exact,arb,int,15665514618826752114,False,False,349.93655490875244,unknown,False
4,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_000_s3847971343468118007_032.cnf,SATISFIABLE,mc,log10-estimate,14.5804040562606,exact,arb,int,380543279216620,False,False,0.8503637313842773,unknown,False
5,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_007_s3847971343468118014_016.cnf,SATISFIABLE,mc,log10-estimate,17.6973174625589,exact,arb,int,498101056113262526,False,False,96.58879780769348,unknown,False
6,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_005_s3847971343468118012_013.cnf,SATISFIABLE,mc,log10-estimate,16.0861876274946,exact,arb,int,12195163506725074,False,False,36.67941761016846,unknown,False
7,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_004_s3847971343468118011_064.cnf,SATISFIABLE,mc,log10-estimate,10.8287251404239,exact,arb,int,67410126236,False,False,0.14080595970153809,unknown,False
8,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_008_s3847971343468118015_002.cnf,,,,,,,,,True,False,956.6960790157318,unknown,False
9,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_005_s3847971343468118012_026.cnf,SATISFIABLE,mc,log10-estimate,15.3585635306235,exact,arb,int,2283302912455339,False,False,11.781878471374512,unknown,False
10,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_007_s3847971343468118014_026.cnf,SATISFIABLE,mc,log10-estimate,14.8765437352112,exact,arb,int,752564512648609,False,False,8.361807823181152,unknown,False
11,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_002_s3847971343468118009_034.cnf,SATISFIABLE,mc,log10-estimate,12.773847238318,exact,arb,int,5940831550276,False,False,0.30544495582580566,unknown,False
12,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_008_s3847971343468118015_070.cnf,SATISFIABLE,mc,log10-estimate,7.20217237144673,exact,arb,int,15928408,False,False,0.05001211166381836,unknown,False
13,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_006_s3847971343468118013_005.cnf,,,,,,,,,True,False,903.7616691589355,unknown,False
14,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn/chevu_000_s3847971343468118007_019.cnf,SATISFIABLE,mc,log10-estimate,17.338227055983,exact,arb,int,217884861093516042,False,False,42.443382263183594,unknown,False
