nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,solved,instance_name
33.0,107.0,33.0,107.0,0.0,0.0,0.0,0.308411215,0.381308411,0.760280031,0.0,1.0,2.117395385,0.144435004,0.412268599,0.060606061,0.363636364,1.913282068,0.0,0.046728972,0.317757009,0.0,0.144435004,0.208360437,0.08411215,0.224299065,2.409013459,0.182448281,0.151699887,0.0,0.555555556,2.658969359,0.032568677,0.469243046,0.009345794,0.065420561,1.797375861,0.299065421,0.266779949,0.080944363,0.214953271,0.299065421,0.0,0.287710717,0.354421347,0.093457944,0.607476636,3.503150418,0.386789004,0.122640185,0.268768769,0.53030303,2.838679749,0.01,1.0,biere_040_s8964878566040228975
72.0,450.0,72.0,450.0,0.0,0.0,0.0,0.16,0.408721104,0.744333769,0.0,1.0,2.19522348,0.066882716,0.487074703,0.027777778,0.236111111,1.911697998,0.0,0.024444444,0.38,0.0,0.066882716,0.292087764,0.024444444,0.104444444,3.180016756,0.166488454,0.119750812,0.0,0.428571429,3.351132051,0.015092593,0.49198476,0.0,0.035555556,2.484792605,0.3,0.131481481,0.092057097,0.077777778,0.148888889,0.0,0.153185185,0.454904381,0.046666667,0.395555556,4.505980644,0.231551083,0.155811013,0.141535615,0.389112903,2.630342171,0.15,1.0,biere_057_s8964878566040228992
21.0,137.0,20.0,117.0,0.05,0.170940171,0.0,0.170940171,0.39021164,0.836989511,0.0,1.0,1.937680084,0.217521368,0.445067151,0.1,0.6,1.894649089,0.0,0.128205128,0.427350427,0.0,0.221322537,0.244849111,0.111111111,0.316239316,2.725550396,0.184739194,0.117813004,0.028571429,0.44,2.652587535,0.049932524,0.536319858,0.017094017,0.102564103,2.059229379,0.307692308,0.161493477,0.016242206,0.153846154,0.162393162,0.0,0.388341004,0.318504479,0.128205128,0.735042735,3.717997475,0.461698648,0.092251956,0.303448276,0.666666667,2.56665253,0.01,1.0,biere_042_s8964878566040228977
22.0,78.0,21.0,67.0,0.047619048,0.164179104,0.0,0.313432836,0.438237385,0.802206448,0.0,1.0,1.776575903,0.199715707,0.426601192,0.095238095,0.476190476,1.830955056,0.0,0.134328358,0.462686567,0.0,0.199253731,0.26932459,0.119402985,0.328358209,2.068478532,0.208184577,0.173437766,0.0,0.666666667,2.415052122,0.049253731,0.407685577,0.014925373,0.089552239,1.574103002,0.313432836,0.279104478,0.077678284,0.223880597,0.298507463,0.0,0.341724215,0.37100301,0.119402985,0.686567164,3.260580836,0.462027801,0.13643143,0.304093567,0.644444444,2.903597237,0.0,1.0,biere_005_s8964878566040228940
26.0,110.0,26.0,110.0,0.0,0.0,0.0,0.236363636,0.406534173,0.767825987,0.0,1.0,1.99768937,0.182167832,0.429569519,0.076923077,0.461538462,1.886826909,0.0,0.036363636,0.318181818,0.0,0.182167832,0.194009936,0.118181818,0.263636364,2.375149251,0.192060422,0.153777073,0.034482759,0.538461538,2.557893586,0.043356643,0.395736908,0.0,0.072727273,1.874037658,0.327272727,0.223776224,0.029973947,0.2,0.227272727,0.0,0.349752066,0.319644727,0.118181818,0.736363636,3.47846557,0.425145697,0.098433794,0.341538462,0.542328042,2.752091153,0.01,1.0,biere_006_s10717307936432754112
26.0,110.0,26.0,110.0,0.0,0.0,0.0,0.236363636,0.406534173,0.767825987,0.0,1.0,1.99768937,0.182167832,0.429569519,0.076923077,0.461538462,1.886826909,0.0,0.036363636,0.318181818,0.0,0.182167832,0.194009936,0.118181818,0.263636364,2.375149251,0.192060422,0.153777073,0.034482759,0.538461538,2.557893586,0.043356643,0.395736908,0.0,0.072727273,1.874037658,0.327272727,0.223776224,0.029973947,0.2,0.227272727,0.0,0.349752066,0.319644727,0.118181818,0.736363636,3.47846557,0.425145697,0.098433794,0.341538462,0.542328042,2.752091153,0.0,1.0,biere_024_s10717307936432754130
26.0,110.0,26.0,110.0,0.0,0.0,0.0,0.236363636,0.406534173,0.767825987,0.0,1.0,1.99768937,0.182167832,0.429569519,0.076923077,0.461538462,1.886826909,0.0,0.036363636,0.318181818,0.0,0.182167832,0.194009936,0.118181818,0.263636364,2.375149251,0.192060422,0.153777073,0.034482759,0.538461538,2.557893586,0.043356643,0.395736908,0.0,0.072727273,1.874037658,0.327272727,0.223776224,0.029973947,0.2,0.227272727,0.0,0.349752066,0.319644727,0.118181818,0.736363636,3.47846557,0.425145697,0.098433794,0.341538462,0.542328042,2.752091153,0.01,1.0,biere_013_s13433780135342208356
26.0,110.0,26.0,110.0,0.0,0.0,0.0,0.236363636,0.406534173,0.767825987,0.0,1.0,1.99768937,0.182167832,0.429569519,0.076923077,0.461538462,1.886826909,0.0,0.036363636,0.318181818,0.0,0.182167832,0.194009936,0.118181818,0.263636364,2.375149251,0.192060422,0.153777073,0.034482759,0.538461538,2.557893586,0.043356643,0.395736908,0.0,0.072727273,1.874037658,0.327272727,0.223776224,0.029973947,0.2,0.227272727,0.0,0.349752066,0.319644727,0.118181818,0.736363636,3.47846557,0.425145697,0.098433794,0.341538462,0.542328042,2.752091153,0.0,1.0,biere_036_s13433780135342208379
26.0,110.0,26.0,110.0,0.0,0.0,0.0,0.236363636,0.406534173,0.767825987,0.0,1.0,1.99768937,0.182167832,0.429569519,0.076923077,0.461538462,1.886826909,0.0,0.036363636,0.318181818,0.0,0.182167832,0.194009936,0.118181818,0.263636364,2.375149251,0.192060422,0.153777073,0.034482759,0.538461538,2.557893586,0.043356643,0.395736908,0.0,0.072727273,1.874037658,0.327272727,0.223776224,0.029973947,0.2,0.227272727,0.0,0.349752066,0.319644727,0.118181818,0.736363636,3.47846557,0.425145697,0.098433794,0.341538462,0.542328042,2.752091153,0.01,1.0,biere_009_s10717307936432754115
26.0,110.0,26.0,110.0,0.0,0.0,0.0,0.236363636,0.406534173,0.767825987,0.0,1.0,1.99768937,0.182167832,0.429569519,0.076923077,0.461538462,1.886826909,0.0,0.036363636,0.318181818,0.0,0.182167832,0.194009936,0.118181818,0.263636364,2.375149251,0.192060422,0.153777073,0.034482759,0.538461538,2.557893586,0.043356643,0.395736908,0.0,0.072727273,1.874037658,0.327272727,0.223776224,0.029973947,0.2,0.227272727,0.0,0.349752066,0.319644727,0.118181818,0.736363636,3.47846557,0.425145697,0.098433794,0.341538462,0.542328042,2.752091153,0.01,1.0,biere_085_s10717307936432754191
